category_accuracy,category_loss,defect_accuracy,defect_auc,defect_loss,loss,val_category_accuracy,val_category_loss,val_defect_accuracy,val_defect_auc,val_defect_loss,val_loss
0.225309357047081,2.257253646850586,0.7676861882209778,0.49896740913391113,0.5672507882118225,3.3938567638397217,0.6405228972434998,0.9446172118186951,0.7478991746902466,0.5346649885177612,0.5663170218467712,2.0816495418548584
0.7480737566947937,0.6454479098320007,0.766752302646637,0.5350205302238464,0.5568256974220276,1.7598848342895508,0.8263305425643921,0.3742893934249878,0.7478991746902466,0.5628681778907776,0.5610575675964355,1.500860571861267
0.8778893351554871,0.303445965051651,0.7683866620063782,0.5646289587020874,0.5451158285140991,1.3940298557281494,0.9542483687400818,0.12350597232580185,0.7478991746902466,0.5674943327903748,0.5592474937438965,1.2441935539245605
0.9325239062309265,0.1924334168434143,0.769554078578949,0.5587001442909241,0.5464907884597778,1.2848073244094849,0.9495798349380493,0.18088199198246002,0.7478991746902466,0.5782378315925598,0.5587477684020996,1.299367904663086
0.9715152978897095,0.09314961731433868,0.769320547580719,0.5588663816452026,0.5433929562568665,1.1798311471939087,0.9747899174690247,0.06702043116092682,0.7478991746902466,0.619549572467804,0.5471448302268982,1.1621211767196655
0.990193784236908,0.047784049063920975,0.769320547580719,0.5637348294258118,0.5392647981643677,1.1267482042312622,0.9990662932395935,0.00530347740277648,0.7478991746902466,0.6150760650634766,0.5462220311164856,1.0992038249969482
0.9666121602058411,0.09848285466432571,0.769320547580719,0.5491142272949219,0.5457912087440491,1.1901075839996338,0.996265172958374,0.019154846668243408,0.7478991746902466,0.5906389951705933,0.5515398383140564,1.1234954595565796
0.9950969219207764,0.02687079645693302,0.769320547580719,0.5652446746826172,0.5401438474655151,1.1076539754867554,0.9971988797187805,0.010628155432641506,0.7478991746902466,0.6064433455467224,0.5476205348968506,1.1082693338394165
0.9950969219207764,0.02046368643641472,0.769320547580719,0.5737073421478271,0.5391080379486084,1.0987604856491089,0.9654528498649597,0.11182687431573868,0.7478991746902466,0.6001849174499512,0.5511480569839478,1.21708345413208
0.9792201519012451,0.0665283203125,0.769320547580719,0.5854731798171997,0.5361427068710327,1.1388766765594482,0.9990662932395935,0.0042125447653234005,0.7478991746902466,0.6119526624679565,0.5513734221458435,1.1090729236602783
0.9911277294158936,0.03733065724372864,0.769320547580719,0.5773768424987793,0.5357187390327454,1.1087251901626587,0.9682539701461792,0.0878734216094017,0.7478991746902466,0.6063670516014099,0.5484910011291504,1.1860322952270508
